	attr_conc.max	attr_conc.mean	attr_conc.median	attr_conc.min	attr_conc.sd	attr_ent.max	attr_ent.mean	attr_ent.median	attr_ent.min	attr_ent.sd	attr_to_inst	cat_to_num	cor.max	cor.mean	cor.median	cor.min	cor.sd	cov.max	cov.mean	cov.median	cov.min	cov.sd	eigenvalues.max	eigenvalues.mean	eigenvalues.median	eigenvalues.min	eigenvalues.sd	g_mean.max	g_mean.mean	g_mean.median	g_mean.min	g_mean.sd	h_mean.max	h_mean.mean	h_mean.median	h_mean.min	h_mean.sd	inst_to_attr	iq_range.max	iq_range.mean	iq_range.median	iq_range.min	iq_range.sd	kurtosis.max	kurtosis.mean	kurtosis.median	kurtosis.min	kurtosis.sd	mad.max	mad.mean	mad.median	mad.min	mad.sd	max.max	max.mean	max.median	max.min	max.sd	mean.max	mean.mean	mean.median	mean.min	mean.sd	median.max	median.mean	median.median	median.min	median.sd	min.max	min.mean	min.median	min.min	min.sd	nr_attr	nr_bin	nr_cat	nr_cor_attr	nr_inst	nr_norm	nr_num	nr_outliers	num_to_cat	range.max	range.mean	range.median	range.min	range.sd	sd.max	sd.mean	sd.median	sd.min	sd.sd	skewness.max	skewness.mean	skewness.median	skewness.min	skewness.sd	sparsity.max	sparsity.mean	sparsity.median	sparsity.min	sparsity.sd	t_mean.max	t_mean.mean	t_mean.median	t_mean.min	t_mean.sd	var.max	var.mean	var.median	var.min	var.sd	id_experimento	reducao
1						5.727920454563198	5.727920454563198	5.727920454563198	5.727920454563198		0.018867924528301886		0.01923076923076934	0.01923076923076928	0.019230769230769277	0.019230769230769232	2.6968871513201744e-17	0.00036284470246734544	0.0003628447024673445	0.0003628447024673445	0.00036284470246734387	3.668922129727252e-19	0.01923076923076924	0.018867924528301865	0.019230769230769204	-6.245004513516506e-17	0.0026415493067055637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	46.11213955144186	46.11213955144184	46.112139551441835	46.112139551441786	1.9131948672901813e-14	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.018867924528301886	0.018867924528301886	0.018867924528301886	0.018867924528301886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	53	0.0	0	53	0.0	1.0	1.0	1.0	1.0	0.0	0.13736056394868904	0.13736056394868895	0.13736056394868895	0.1373605639486889	4.537910924557397e-17	6.873211614941956	6.873211614941955	6.873211614941954	6.873211614941948	2.31412011665099e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.018867924528301886	0.01886792452830187	0.018867924528301865	0.018867924528301848	1.2190628416513066e-17	32	0.17
1						5.807354922057605	5.807354922057605	5.807354922057605	5.807354922057605		0.017857142857142856		0.018181818181818167	0.018181818181818146	0.018181818181818146	0.018181818181818125	9.333500355427594e-18	0.000324675324675325	0.00032467532467532435	0.00032467532467532435	0.0003246753246753242	8.712234051359568e-20	0.01818181818181823	0.017857142857142873	0.018181818181818195	3.122502256758253e-17	0.0024296476537493104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	49.1061862244898	49.106186224489775	49.106186224489775	49.106186224489775	1.1497147553369167e-14	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.017857142857142856	0.017857142857142853	0.017857142857142856	0.017857142857142856	3.5008453019119215e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	56	0.0	0	56	0.0	1.0	1.0	1.0	1.0	0.0	0.13363062095621234	0.13363062095621228	0.13363062095621225	0.1336306209562122	4.583682454954832e-17	7.087195432856253	7.0871954328562525	7.087195432856252	7.087195432856251	1.071183478194952e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.017857142857142894	0.017857142857142873	0.017857142857142877	0.017857142857142856	1.1610990315520314e-17	32	0.18
1						5.882643049361841	5.882643049361841	5.882643049361841	5.882643049361841		0.01694915254237288		0.017241379310344855	0.017241379310344834	0.017241379310344834	0.017241379310344807	1.0640761985248661e-17	0.00029222676797194675	0.0002922267679719465	0.00029222676797194643	0.000292226767971946	1.8901165131980602e-19	0.017241379310344866	0.016949152542372888	0.017241379310344834	-2.7538735181131813e-17	0.0022446363962211058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	52.10083309393853	52.10083309393849	52.10083309393848	52.100833093938476	1.3584514993968562e-14	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.01694915254237288	0.016949152542372878	0.01694915254237288	0.01694915254237288	3.4992281587190476e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	59	0.0	0	59	0.0	1.0	1.0	1.0	1.0	0.0	0.13018891098082389	0.13018891098082386	0.13018891098082389	0.13018891098082386	2.67813904762386e-17	7.2949921983492185	7.294992198349219	7.294992198349217	7.294992198349215	2.6874072258962285e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.016949152542372885	0.016949152542372885	0.016949152542372885	0.01694915254237288	1.0186647003604101e-18	32	0.19
1						5.954196310386874	5.954196310386874	5.954196310386874	5.954196310386874		0.016129032258064516		0.016393442622950838	0.01639344262295079	0.01639344262295079	0.016393442622950716	2.3830405203020246e-17	0.00026441036488630414	0.0002644103648863034	0.0002644103648863034	0.00026441036488630257	2.750989745970861e-19	0.01639344262295088	0.01612903225806453	0.016393442622950838	5.204170427930421e-17	0.0020819692950850856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	55.095993756503674	55.0959937565036	55.0959937565036	55.0959937565036	1.839869162092035e-14	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.016129032258064516	0.016129032258064516	0.016129032258064516	0.016129032258064516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	62	0.0	0	62	0.0	1.0	1.0	1.0	1.0	0.0	0.12700012700019067	0.1270001270001906	0.1270001270001906	0.1270001270001905	4.9242028518386295e-17	7.497104271301571	7.497104271301568	7.497104271301568	7.497104271301566	1.131495670665929e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.016129032258064557	0.016129032258064533	0.016129032258064536	0.016129032258064516	1.2548643449400652e-17	32	0.2
1						4.954196310386876	4.954196310386876	4.954196310386876	4.954196310386876		0.03225806451612903		0.03333333333333338	0.03333333333333333	0.033333333333333326	0.03333333333333329	1.570528593650681e-17	0.001075268817204304	0.001075268817204302	0.0010752688172043015	0.0010752688172043006	7.35272783161701e-19	0.03333333333333343	0.032258064516129066	0.03333333333333336	6.938893903907228e-18	0.005986843400892501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	24.190426638917796	24.190426638917764	24.19042663891776	24.19042663891776	1.1818670439230203e-14	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.03225806451612903	0.032258064516129024	0.03225806451612903	0.03225806451612903	7.053594135616508e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	31	0.0	0	31	0.0	1.0	1.0	1.0	1.0	0.0	0.17960530202677502	0.17960530202677488	0.17960530202677497	0.1796053020267749	1.004583142830354e-16	5.040535895590133	5.0405358955901285	5.0405358955901285	5.0405358955901285	1.939133048956025e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.03225806451612908	0.03225806451612906	0.03225806451612906	0.03225806451612904	1.449990869841163e-17	32	0.1
1						5.087462841250341	5.087462841250341	5.087462841250341	5.087462841250341		0.029411764705882353		0.030303030303030366	0.030303030303030342	0.030303030303030335	0.030303030303030314	1.1288086675114854e-17	0.0008912655971479507	0.0008912655971479505	0.0008912655971479505	0.0008912655971479504	8.195798055178859e-20	0.03030303030303034	0.029411764705882335	0.03030303030303028	-2.2375222334721706e-17	0.0051969268225002686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	27.17387543252597	27.173875432525964	27.173875432525957	27.17387543252595	7.822818056456247e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.029411764705882353	0.029411764705882353	0.029411764705882353	0.029411764705882353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	34	0.0	0	34	0.0	1.0	1.0	1.0	1.0	0.0	0.17149858514250882	0.17149858514250874	0.17149858514250876	0.1714985851425087	5.021172554038838e-17	5.326544291484984	5.326544291484984	5.326544291484982	5.32654429148498	1.458606854675088e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.02941176470588235	0.02941176470588233	0.029411764705882328	0.029411764705882307	1.3259489406352272e-17	32	0.11
1						5.20945336562895	5.20945336562895	5.20945336562895	5.20945336562895		0.02702702702702703		0.02777777777777783	0.02777777777777779	0.027777777777777783	0.027777777777777745	1.3301039898164515e-17	0.0007507507507507517	0.0007507507507507506	0.0007507507507507507	0.0007507507507507492	4.257623780015588e-19	0.027777777777777804	0.027027027027027018	0.027777777777777766	-1.3877787807814457e-17	0.004566638536259926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	30.15997078159242	30.159970781592417	30.15997078159242	30.159970781592406	4.918509370406617e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.02702702702702703	0.02702702702702702	0.02702702702702703	0.02702702702702703	7.034607306733603e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	37	0.0	0	37	0.0	1.0	1.0	1.0	1.0	0.0	0.1643989873053573	0.16439898730535724	0.16439898730535726	0.1643989873053572	3.367727342033554e-17	5.598452000128384	5.5984520001283835	5.598452000128383	5.598452000128382	1.0467283057891834e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.02702702702702703	0.027027027027027008	0.027027027027027015	0.027027027027027004	1.1608110248425152e-17	32	0.12
1						5.321928094887363	5.321928094887363	5.321928094887363	5.321928094887363		0.025		0.02564102564102565	0.025641025641025637	0.025641025641025637	0.02564102564102563	3.966115995053341e-18	0.000641025641025641	0.0006410256410256407	0.0006410256410256407	0.0006410256410256405	1.4102601997662135e-19	0.025641025641025664	0.024999999999999988	0.02564102564102563	1.073360150760222e-17	0.004054202128420996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	33.14812500000001	33.14812500000001	33.14812500000001	33.14812500000001	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.025	0.025	0.025	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	40	0.0	0	40	0.0	1.0	1.0	1.0	1.0	0.0	0.15811388300841897	0.15811388300841894	0.15811388300841894	0.15811388300841892	2.1773264873091063e-17	5.858119365461923	5.858119365461922	5.858119365461922	5.858119365461922	5.688894823844035e-16	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.024999999999999998	0.02499999999999999	0.02499999999999999	0.024999999999999984	4.969045133969513e-18	32	0.13
1						5.426264754702098	5.426264754702098	5.426264754702098	5.426264754702098		0.023255813953488372		0.023809523809523808	0.023809523809523774	0.023809523809523777	0.023809523809523753	1.2769527129251165e-17	0.0005537098560354374	0.0005537098560354369	0.0005537098560354369	0.0005537098560354365	1.846400351805525e-19	0.023809523809523867	0.02325581395348838	0.023809523809523815	2.42861286636753e-17	0.0036309183412524893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	36.13791238507301	36.137912385072994	36.137912385073	36.137912385073	1.0963912441901294e-14	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.023255813953488372	0.023255813953488372	0.023255813953488372	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	43	0.0	0	43	0.0	1.0	1.0	1.0	1.0	0.0	0.15249857033260472	0.1524985703326047	0.1524985703326047	0.15249857033260467	2.4227052612512386e-17	6.107035770063843	6.107035770063841	6.10703577006384	6.10703577006384	1.1301342266995672e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.023255813953488393	0.023255813953488382	0.023255813953488382	0.023255813953488372	6.173926099546709e-18	32	0.14
1						5.523561956057012	5.523561956057012	5.523561956057012	5.523561956057012		0.021739130434782608		0.022222222222222303	0.022222222222222244	0.02222222222222224	0.02222222222222222	1.3407621961090691e-17	0.0004830917874396142	0.00048309178743961335	0.00048309178743961346	0.00048309178743961297	2.188495879970592e-19	0.022222222222222233	0.021739130434782584	0.022222222222222192	-2.86215445294684e-17	0.00327648791455327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	39.12901701323258	39.12901701323256	39.129017013232556	39.129017013232506	1.785020125208497e-14	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.021739130434782608	0.021739130434782605	0.021739130434782608	0.021739130434782608	3.507784546187808e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	46	0.0	0	46	0.0	1.0	1.0	1.0	1.0	0.0	0.14744195615489714	0.14744195615489708	0.14744195615489702	0.14744195615489694	6.568167990716596e-17	6.3464146344934065	6.346414634493402	6.346414634493404	6.3464146344933985	3.0221277700033618e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.021739130434782608	0.021739130434782584	0.02173913043478258	0.021739130434782556	1.5464032508633763e-17	32	0.15
1						5.614709844115208	5.614709844115208	5.614709844115208	5.614709844115208		0.02040816326530612		0.02083333333333333	0.02083333333333332	0.020833333333333322	0.020833333333333304	5.112067121627064e-18	0.00042517006802721076	0.0004251700680272106	0.0004251700680272107	0.0004251700680272106	1.0022087641806425e-19	0.020833333333333367	0.02040816326530612	0.020833333333333336	1.0842021724855044e-17	0.0029761904761904756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	42.121199500208256	42.12119950020825	42.12119950020825	42.12119950020825	4.1023203976182695e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.02040816326530612	0.02040816326530612	0.02040816326530612	0.02040816326530612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	49	0.0	0	49	0.0	1.0	1.0	1.0	1.0	0.0	0.1428571428571429	0.1428571428571429	0.14285714285714288	0.14285714285714285	2.888891902733299e-17	6.577259475218661	6.577259475218661	6.577259475218661	6.57725947521866	5.285718846720614e-16	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.020408163265306135	0.020408163265306128	0.020408163265306128	0.02040816326530612	4.5896469109001614e-18	32	0.16
1						5.727920454563198	5.727920454563198	5.727920454563198	5.727920454563198		0.018867924528301886		0.01923076923076934	0.01923076923076928	0.019230769230769277	0.019230769230769232	2.731973253065996e-17	0.00036284470246734544	0.0003628447024673445	0.0003628447024673445	0.000362844702467344	3.683464526925654e-19	0.019230769230769242	0.01886792452830187	0.019230769230769208	-6.091719760219615e-17	0.002641549306705564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	46.11213955144186	46.11213955144184	46.112139551441835	46.112139551441786	1.9131948672901813e-14	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.018867924528301886	0.018867924528301886	0.018867924528301886	0.018867924528301886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	53	0.0	0	53	0.0	1.0	1.0	1.0	1.0	0.0	0.13736056394868904	0.13736056394868892	0.13736056394868895	0.1373605639486889	5.3054883733267905e-17	6.873211614941956	6.873211614941955	6.873211614941954	6.873211614941948	2.31412011665099e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.018867924528301886	0.01886792452830187	0.018867924528301865	0.018867924528301848	1.2190628416513066e-17	32	0.17
1						5.807354922057605	5.807354922057605	5.807354922057605	5.807354922057605		0.017857142857142856		0.018181818181818167	0.018181818181818146	0.018181818181818146	0.01818181818181812	9.288138821572797e-18	0.000324675324675325	0.00032467532467532435	0.00032467532467532435	0.0003246753246753242	8.415683310821645e-20	0.018181818181818233	0.017857142857142873	0.018181818181818195	2.7755575615628914e-17	0.0024296476537493113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	49.1061862244898	49.106186224489775	49.106186224489775	49.106186224489775	1.1497147553369167e-14	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.017857142857142856	0.017857142857142853	0.017857142857142856	0.017857142857142856	3.5008453019119215e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	56	0.0	0	56	0.0	1.0	1.0	1.0	1.0	0.0	0.13363062095621234	0.13363062095621225	0.13363062095621225	0.1336306209562122	4.201014362294306e-17	7.087195432856253	7.0871954328562525	7.087195432856252	7.087195432856251	1.071183478194952e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.017857142857142894	0.017857142857142873	0.017857142857142877	0.017857142857142856	1.1610990315520314e-17	32	0.18
1						5.882643049361841	5.882643049361841	5.882643049361841	5.882643049361841		0.01694915254237288		0.017241379310344855	0.017241379310344834	0.017241379310344834	0.017241379310344813	1.0681698301918303e-17	0.00029222676797194675	0.00029222676797194643	0.00029222676797194643	0.00029222676797194605	1.7996178542220558e-19	0.01724137931034486	0.016949152542372885	0.017241379310344834	-2.428612866367532e-17	0.0022446363962211058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	52.10083309393853	52.10083309393849	52.10083309393848	52.100833093938476	1.3584514993968562e-14	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.01694915254237288	0.016949152542372878	0.01694915254237288	0.01694915254237288	3.4992281587190476e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	59	0.0	0	59	0.0	1.0	1.0	1.0	1.0	0.0	0.13018891098082389	0.13018891098082386	0.13018891098082389	0.13018891098082386	2.67813904762386e-17	7.2949921983492185	7.294992198349219	7.294992198349217	7.294992198349215	2.6874072258962285e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.016949152542372885	0.016949152542372885	0.016949152542372885	0.01694915254237288	1.0186647003604101e-18	32	0.19
1						5.954196310386874	5.954196310386874	5.954196310386874	5.954196310386874		0.016129032258064516		0.016393442622950838	0.01639344262295079	0.01639344262295079	0.016393442622950716	2.383775360678069e-17	0.0002644103648863042	0.0002644103648863034	0.0002644103648863034	0.00026441036488630257	2.760891360750701e-19	0.01639344262295088	0.01612903225806453	0.016393442622950838	5.377642775528102e-17	0.002081969295085085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	55.095993756503674	55.0959937565036	55.0959937565036	55.0959937565036	1.839869162092035e-14	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.016129032258064516	0.016129032258064516	0.016129032258064516	0.016129032258064516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	62	0.0	0	62	0.0	1.0	1.0	1.0	1.0	0.0	0.12700012700019067	0.1270001270001906	0.1270001270001906	0.1270001270001905	4.9242028518386295e-17	7.497104271301571	7.497104271301568	7.497104271301568	7.497104271301566	1.131495670665929e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.016129032258064557	0.016129032258064533	0.016129032258064536	0.016129032258064516	1.2548643449400652e-17	32	0.2
1						4.954196310386876	4.954196310386876	4.954196310386876	4.954196310386876		0.03225806451612903		0.03333333333333338	0.033333333333333326	0.033333333333333326	0.03333333333333329	1.517776219772865e-17	0.001075268817204304	0.0010752688172043015	0.0010752688172043015	0.0010752688172043009	6.785043666025762e-19	0.03333333333333343	0.032258064516129066	0.033333333333333354	-5.204170427930421e-18	0.0059868434008925045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	24.190426638917796	24.190426638917764	24.19042663891776	24.19042663891776	1.1818670439230203e-14	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.03225806451612903	0.032258064516129024	0.03225806451612903	0.03225806451612903	7.053594135616508e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	31	0.0	0	31	0.0	1.0	1.0	1.0	1.0	0.0	0.17960530202677502	0.1796053020267749	0.17960530202677497	0.1796053020267749	7.550332863779065e-17	5.040535895590133	5.0405358955901285	5.0405358955901285	5.0405358955901285	1.939133048956025e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.03225806451612908	0.03225806451612905	0.03225806451612906	0.03225806451612904	1.5823112613210483e-17	32	0.1
1						5.087462841250341	5.087462841250341	5.087462841250341	5.087462841250341		0.029411764705882353		0.030303030303030366	0.030303030303030342	0.030303030303030335	0.030303030303030314	1.1264259049702973e-17	0.0008912655971479507	0.0008912655971479505	0.0008912655971479505	0.0008912655971479504	8.195798055178859e-20	0.03030303030303033	0.02941176470588233	0.030303030303030287	-2.7755575615628914e-17	0.005196926822500269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	27.17387543252597	27.17387543252596	27.173875432525957	27.17387543252595	8.251126384207486e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.029411764705882353	0.029411764705882353	0.029411764705882353	0.029411764705882353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	34	0.0	0	34	0.0	1.0	1.0	1.0	1.0	0.0	0.17149858514250882	0.17149858514250874	0.17149858514250876	0.1714985851425087	5.021172554038838e-17	5.326544291484984	5.326544291484984	5.326544291484982	5.32654429148498	1.458606854675088e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.02941176470588235	0.02941176470588233	0.029411764705882328	0.029411764705882307	1.3259489406352272e-17	32	0.11
1						5.20945336562895	5.20945336562895	5.20945336562895	5.20945336562895		0.02702702702702703		0.027777777777777835	0.02777777777777779	0.027777777777777787	0.027777777777777752	1.3343159850041797e-17	0.0007507507507507516	0.0007507507507507507	0.0007507507507507507	0.0007507507507507492	4.2014116115647993e-19	0.0277777777777778	0.027027027027027018	0.027777777777777766	-6.938893903907228e-18	0.004566638536259924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	30.15997078159242	30.159970781592417	30.15997078159242	30.159970781592406	4.918509370406617e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.02702702702702703	0.02702702702702702	0.02702702702702703	0.02702702702702703	7.034607306733603e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	37	0.0	0	37	0.0	1.0	1.0	1.0	1.0	0.0	0.1643989873053573	0.16439898730535718	0.16439898730535726	0.1643989873053572	8.339512588514002e-17	5.598452000128384	5.5984520001283835	5.598452000128383	5.598452000128382	1.0467283057891834e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.02702702702702703	0.027027027027027008	0.027027027027027015	0.027027027027027004	1.1608110248425152e-17	32	0.12
1						5.321928094887363	5.321928094887363	5.321928094887363	5.321928094887363		0.025		0.02564102564102565	0.025641025641025633	0.025641025641025637	0.02564102564102563	5.28263246014225e-18	0.000641025641025641	0.0006410256410256406	0.0006410256410256407	0.0006410256410256405	1.6603927103074145e-19	0.02564102564102567	0.024999999999999984	0.025641025641025626	6.938893903907228e-18	0.004054202128420997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	33.14812500000001	33.14812500000001	33.14812500000001	33.14812500000001	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.025	0.025	0.025	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	40	0.0	0	40	0.0	1.0	1.0	1.0	1.0	0.0	0.15811388300841897	0.15811388300841894	0.15811388300841894	0.15811388300841892	2.1773264873091063e-17	5.858119365461923	5.858119365461922	5.858119365461922	5.858119365461922	5.688894823844035e-16	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.024999999999999998	0.02499999999999999	0.02499999999999999	0.024999999999999984	4.969045133969513e-18	32	0.13
1						5.426264754702098	5.426264754702098	5.426264754702098	5.426264754702098		0.023255813953488372		0.0238095238095238	0.023809523809523777	0.023809523809523777	0.023809523809523753	1.1795486095991306e-17	0.0005537098560354372	0.0005537098560354368	0.0005537098560354369	0.0005537098560354365	1.9420314903787547e-19	0.023809523809523864	0.023255813953488382	0.023809523809523815	1.8214596497756474e-17	0.0036309183412524906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	36.13791238507301	36.137912385072994	36.137912385073	36.137912385073	1.0963912441901294e-14	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.023255813953488372	0.023255813953488372	0.023255813953488372	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	43	0.0	0	43	0.0	1.0	1.0	1.0	1.0	0.0	0.15249857033260472	0.15249857033260472	0.1524985703326047	0.15249857033260467	3.505605120972016e-17	6.107035770063843	6.107035770063839	6.10703577006384	6.10703577006384	2.087466737751964e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.023255813953488393	0.023255813953488382	0.023255813953488382	0.023255813953488372	6.173926099546709e-18	32	0.14
